path,entity_id,entity_type,department,status,phase,last_modified
DATA/DASHBOARD_PROMPT.md,,other,DASHBOARD_PROMPT.md,Active,,1763967840.0
DATA/id_and_status_rules.md,RSH-VID-001,other,id_and_status_rules.md,Active,,1764168993.4225972
DATA/README.md,,other,README.md,Active,,1763967934.0
DATA/SCRIPTS_INVENTORY.md,,other,SCRIPTS_INVENTORY.md,,,1763965119.0
DATA/SYSTEM_OVERVIEW.md,Video_001,other,SYSTEM_OVERVIEW.md,Active,,1763968049.0
DATA/TSM_TAXONOMY_INTEGRATION_SUMMARY.md,RSR-001,other,TSM_TAXONOMY_INTEGRATION_SUMMARY.md,Archived,,1763945654.0
DATA/00_SEARCH_QUEUE/README.md,,queue,00_SEARCH_QUEUE,Active,,1763944848.0
DATA/01_VIDEO_QUEUE/Queue_Integration_Guide.md,,queue,01_VIDEO_QUEUE,Archived,,1763941393.0
DATA/01_VIDEO_QUEUE/Queue_System_README.md,,queue,01_VIDEO_QUEUE,Active,,1763941393.0
DATA/01_VIDEO_QUEUE/README.md,,queue,01_VIDEO_QUEUE,Archived,,1763941393.0
DATA/01_VIDEO_QUEUE/Transcription_Queue.md,,queue,01_VIDEO_QUEUE,Archived,,1763941938.0
DATA/01_VIDEO_QUEUE/Video_Queue_Tracker.md,Video_018,queue,01_VIDEO_QUEUE,Active,,1763811992.0
DATA/02_TRANSCRIPTIONS/README.md,Video_001,video,02_TRANSCRIPTIONS,Active,,1763754976.0
DATA/02_TRANSCRIPTIONS/VIDEOS_INDEX.md,Video_001,video,02_TRANSCRIPTIONS,Active,,1763996368.0
DATA/02_TRANSCRIPTIONS/Video_001.md,Video_001,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_002.md,Video_002,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_003.md,Video_003,video,02_TRANSCRIPTIONS,Active,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_004.md,Video_004,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_005.md,Video_005,video,02_TRANSCRIPTIONS,Active,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_006.md,Video_006,video,02_TRANSCRIPTIONS,Active,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_007.md,Video_007,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_008.md,Video_008,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_009.md,Video_009,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_010.md,Video_010,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_011.md,Video_011,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_012.md,Video_012,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_013.md,Video_013,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_014.md,Video_014,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_016.md,Video_016,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_016_Processing_Summary.md,Video_016,video,02_TRANSCRIPTIONS,,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_017.md,Video_017,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_018.md,Video_018,video,02_TRANSCRIPTIONS,Draft,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_021.md,Video_021,video,02_TRANSCRIPTIONS,,,1763814731.0
DATA/02_TRANSCRIPTIONS/Video_022.md,Video_022,video,02_TRANSCRIPTIONS,,,1763852327.0
DATA/02_TRANSCRIPTIONS/Video_023.md,Video_023,video,02_TRANSCRIPTIONS,,,1763939852.0
DATA/02_TRANSCRIPTIONS/Video_024 (Спірна копія користувача HR RemotEmployees 2025-11-25).md,Video_024,video,02_TRANSCRIPTIONS,Active,,1764007526.0
DATA/02_TRANSCRIPTIONS/Video_024.md,Video_024,video,02_TRANSCRIPTIONS,Active,,1763995133.0
DATA/02_TRANSCRIPTIONS/Video_025.md,Video_025,video,02_TRANSCRIPTIONS,Draft,,1764008728.0
DATA/02_TRANSCRIPTIONS/Video_026.md,Video_026,video,02_TRANSCRIPTIONS,Active,,1764010259.0
DATA/02_TRANSCRIPTIONS/Video_19.md,Video_19,video,02_TRANSCRIPTIONS,,,1763811345.0
DATA/02_TRANSCRIPTIONS/Video_19_ExecutionFlow.md,Video_19,video,02_TRANSCRIPTIONS,Active,,1763941393.0
DATA/02_TRANSCRIPTIONS/Video_19_Processing_Summary.md,Video_19,video,02_TRANSCRIPTIONS,,,1763941393.0
DATA/02_TRANSCRIPTIONS/Video_19_Taxonomy_Extraction.md,Video_19,video,02_TRANSCRIPTIONS,Draft,,1763812217.0
DATA/02_TRANSCRIPTIONS/Video_20.md,Video_20,video,02_TRANSCRIPTIONS,,,1763809795.0
DATA/02_TRANSCRIPTIONS/Video_Discovery_Pipeline.md,Video_005,video,02_TRANSCRIPTIONS,Active,,1763754965.0
DATA/02_TRANSCRIPTIONS/Video_Queue_Tracker.md,Video_018,video,02_TRANSCRIPTIONS,Active,,1763754965.0
DATA/03_ANALYSIS/gap_analysis_Video_022_20251124_021632.md,Video_022,analysis,03_ANALYSIS,,,1763946992.0
DATA/03_ANALYSIS/gap_analysis_Video_022_20251124_021705.md,Video_022,analysis,03_ANALYSIS,,,1763947025.0
DATA/03_ANALYSIS/Video_024_Execution_Plan.md,Video_024,analysis,03_ANALYSIS,Draft,,1764007946.0
DATA/03_ANALYSIS/Video_025_Execution_Plan.md,Video_025,analysis,03_ANALYSIS,Draft,,1764009091.0
DATA/03_ANALYSIS/Video_026_Execution_Plan.md,Video_026,analysis,03_ANALYSIS,Active,,1764010565.0
DATA/DATA/RSH-VID-001_AI_Video_Tools_Research.md,RSH-VID-001,other,DATA,,,1763941160.0
DATA/DATA/Video_Search_Prompt_n8n_OpenAI_Google.md,,other,DATA,,,1763735433.0
DATA/PROMPTS/PMT-044_Sales_Department_Research.md,,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-045_SMM_Document_Processing.md,,prompt,PROMPTS,Draft,,1763738693.0
DATA/PROMPTS/PMT-046_VSCode_Agent_HQ_Research.md,,prompt,PROMPTS,,,1763738693.0
DATA/PROMPTS/PMT-047_YouTube_AI_HR_Tutorials.md,,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-048_YouTube_AI_Tools_Daily.md,,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-049_YouTube_HR_Automation.md,TASK-TEMPLATE-001,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-050_YouTube_Remote_Helpers.md,,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-051_Department_Research_Integration.md,TASK-VIDEO-004,prompt,PROMPTS,Active,,1763941160.0
DATA/PROMPTS/PMT-051_YouTube_AI_Design_Tools_Workflows.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-051_YouTube_AI_Design_Tools_Workflows_CONFLICT_2025-11-21.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-052_Design_AI_Tutorials_Perplexity_Prompt.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-052_VSCode_AI_Extensions.md,,prompt,PROMPTS,Active,,1763738693.0
DATA/PROMPTS/PMT-052_YouTube_Management_Discovery.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-052_YouTube_Management_Documentation.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-052_YouTube_Management_Leadership_Workflows.md,,prompt,PROMPTS,,,1763741758.0
DATA/PROMPTS/PMT-082_Advanced_Prompting_Course_Creation.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-083_GenSpark_Course_Creation.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-085_Photo_Editing_AI_Research.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-089_YouTube_AI_Tutorials_Research.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-093_Design_AI_Video_Discovery.md,,prompt,PROMPTS,Active,,1763741758.0
DATA/PROMPTS/PMT-097_YouTube_AI_Models_Deep_Research.md,,prompt,PROMPTS,Active,,1763941393.0
DATA/PROMPTS/PMT-098_OpenAI_Automation_Examples_Company_Adoption.md,RSH-AI-002,prompt,PROMPTS,Active,,1763846022.0
DATA/PROMPTS/README.md,Video_006,prompt,PROMPTS,Active,,1763941160.0
DATA/PROMPTS/README_MIGRATION.md,,prompt,PROMPTS,Archived,,1763751427.0
DATA/PROMPTS/Universal Research Prompt.md,,prompt,PROMPTS,,,1763860622.0
DATA/PROMPTS/VIDEO_RESEARCHES_Prompt_Examples.md,RSH-VID-001,prompt,PROMPTS,,,1763941393.0
DATA/REPORTS/CONSOLIDATION_COMPLETE.md,Video_001,report,REPORTS,,,1763941393.0
