video_url,video_title,channel_name,duration_minutes,priority,department,notes,status
https://youtube.com/watch?v=,How To Use AI Agents to 10x Your Creative AI Game (GLIF TUTORIAL FOR BEGINNERS),Startup Ideas Podcast,20,high,AID,GLIF tutorial for AI agents and creative workflows,selected
https://youtu.be/2XHgJXX49Jk,How to get SO many leads you don't know what to do with them,Lead Generation,33,high,MKT,Lead generation strategies and automation,selected
https://youtube.com/watch?v=,Kimi K2 Thinking: A New Frontier Open-Source AI Model,,15,medium,AID,Open-source AI model analysis,selected
https://youtube.com/watch?v=,This AI Will Take Over Your Browser,,44,high,DEV,Browser automation with AI,selected
https://youtube.com/watch?v=,My Agentic Engineering Tech Stack,,34,high,DEV,Agentic AI tech stack overview,selected
https://youtu.be/MJ3F1-bfaVY,Claude Code for Business: Run Your Entire Company With AI Team,,30,high,AID,Claude Code business automation,selected
https://youtube.com/watch?v=,How to Connect Claude to Any App (No-Code),,13,medium,DEV,No-code Claude integration tutorial,selected
https://youtube.com/watch?v=,3 Prompts To Get INCREDIBLE App Designs From AI,,12,medium,DGN,AI app design prompting techniques,selected
https://youtube.com/watch?v=,Wan 2.2 Open Source Video Generation - First Look,,31,high,VID,Open source video generation tool,selected
https://youtube.com/watch?v=,Google Veo 3.1: A Deep Dive into New Features and Workflows via OpenArt,,3,low,VID,Google Veo features walkthrough,selected
https://www.youtube.com/watch?v=R260afA3-3E,Andrew Ng's Agentic AI Course | Crash Course (Save 8 Hours),,30,high,AID,Agentic AI course summary,selected
https://youtube.com/watch?v=,How We Automated an Entire Sales Team,,25,high,MKT,Sales automation case study,selected
https://youtu.be/YN0qExgzLHY,ULTIMATE Midjourney Course | Beginner to Advanced Tutorial,,25,high,DGN,Complete Midjourney tutorial,selected
https://youtube.com/watch?v=,Midjourney Beginner Guide 2025: Everything You Need To Know,,26,high,DGN,Midjourney 2025 beginner guide,selected
https://youtube.com/watch?v=,The Best Freelance and Remote Hiring Websites,,15,medium,MKT,Freelance hiring platforms comparison,selected
https://youtube.com/watch?v=,To-Do List App with JavaScript - From Scratch to Functional!,,19,medium,DEV,JavaScript to-do app tutorial,selected
https://youtu.be/UtXzdmpysmU,n8n Quickstart: Master Workflow Automation Fundamentals,,15,high,DEV,n8n workflow automation basics,selected
https://youtu.be/EYAMZ9aSVh4,This AI Agent Will DO Your Work For You! (Browse AI),The AI Advantage,11,high,AID,Browse AI web scraping tutorial,selected
https://youtube.com/watch?v=,Google AI Studio Full Walkthrough and Tutorial,,21,medium,AID,Google AI Studio complete guide,selected
https://youtu.be/gl6U8s3zStI,Tutorial: Auth for Remote MCP Servers (Step by Step) | OAuth 2.1 with ScaleKit,,39,high,DEV,MCP server authentication setup,selected
